"","survival_50","survival_500","survival_pessimistic"
"Nothura_maculosa",0.999999999999983,0.99999999998713,0.999995776
"Nothura_boraquira",1,0.999999999999999,0.999999876096
"Nothura_darwinii",1,1,0.999999999888486
"Nothura_minor",1,1,0.99999999999744
"Nothoprocta_curvirostris",1,1,0.99999998344192
"Nothoprocta_perdicaria",1,1,0.999999999989975
"Nothoprocta_taczanowskii",1,1,0.999999999999999
"Nothoprocta_cinerascens",1,1,0.99999983191936
"Nothoprocta_ornata",1,1,0.999999999222538
"Nothoprocta_pentlandii",1,1,0.999999999990218
"Rhynchotus_maculicollis",1,1,0.999999999589427
"Rhynchotus_rufescens",1,0.999999999999993,0.9999995842
"Taoniscus_nanus",1,1,0.999999999424
"Eudromia_formosa",1,0.999999999999996,0.999999784
"Eudromia_elegans",1,0.999999999999942,0.9999966736
"Tinamotis_pentlandii",1,0.999999999999598,0.99997424
"Tinamotis_ingoufi",1,0.999999999999937,0.999995952
"Crypturellus_duidae",1,1,0.999999999999895
"Crypturellus_parvirostris",1,1,0.999999999999999
"Crypturellus_obsoletus",1,1,1
"Crypturellus_transfasciatus",1,1,1
"Crypturellus_berlepschi",1,1,1
"Crypturellus_cinnamomeus",1,1,0.999999999994064
"Crypturellus_tataupa",1,1,1
"Crypturellus_atrocapillus",1,1,1
"Crypturellus_variegatus",1,1,1
"Crypturellus_kerriae",1,1,1
"Crypturellus_noctivagus",1,1,1
"Crypturellus_erythropus",1,1,1
"Crypturellus_casiquiare",1,1,1
"Crypturellus_soui",1,1,1
"Crypturellus_boucardi",1,1,1
"Crypturellus_strigulosus",1,1,1
"Crypturellus_brevirostris",1,1,1
"Crypturellus_bartletti",1,1,1
"Crypturellus_ptaritepui",1,1,1
"Crypturellus_cinereus",1,1,1
"Crypturellus_undulatus",1,1,1
"Nothocercus_nigrocapillus",1,1,1
"Nothocercus_julius",1,1,1
"Nothocercus_bonapartei",1,1,1
"Tinamus_major",1,1,1
"Tinamus_osgoodi",1,1,1
"Tinamus_solitarius",1,1,0.99999999998785
"Tinamus_guttatus",1,1,0.999999999637258
"Tinamus_tao",0.999999999999952,0.999999999952826,0.999999225856
"Dromaius_novaehollandiae",1,1,1
"Casuarius_bennetti",1,1,1
"Casuarius_casuarius",1,1,1
"Casuarius_unappendiculatus",1,1,1
"Apteryx_mantelli",1,1,1
"Apteryx_australis",1,1,1
"Apteryx_owenii",1,1,1
"Apteryx_haastii",1,1,1
"Rhea_americana",1,1,1
"Rhea_pennata",1,1,1
"Struthio_camelus",1,1,1
"Cyrtonyx_montezumae",1,1,1
"Cyrtonyx_ocellatus",1,1,1
"Rhynchortyx_cinctus",1,1,1
"Dactylortyx_thoracicus",1,1,1
"Odontophorus_melanonotus",1,1,1
"Odontophorus_melanotis",1,1,1
"Odontophorus_atrifrons",1,1,1
"Odontophorus_columbianus",1,1,1
"Odontophorus_guttatus",1,1,1
"Odontophorus_strophium",1,1,1
"Odontophorus_hyperythrus",1,1,1
"Odontophorus_gujanensis",1,1,1
"Odontophorus_balliviani",1,1,1
"Odontophorus_capueira",1,1,1
"Odontophorus_leucolaemus",1,1,1
"Odontophorus_dialeucos",1,1,1
"Odontophorus_stellatus",1,1,1
"Odontophorus_erythrops",1,1,1
"Odontophorus_speciosus",1,1,1
"Oreortyx_pictus",1,1,1
"Colinus_nigrogularis",1,1,1
"Colinus_leucopogon",1,1,1
"Colinus_cristatus",1,1,1
"Colinus_virginianus",1,1,1
"Callipepla_squamata",1,1,1
"Callipepla_douglasii",1,1,1
"Callipepla_californica",1,1,1
"Callipepla_gambelii",1,1,1
"Dendrortyx_barbatus",1,1,1
"Dendrortyx_leucophrys",1,1,1
"Dendrortyx_macroura",1,1,1
"Philortyx_fasciatus",1,1,1
"Ptilopachus_petrosus",0,0,0
"Xenoperdix_udzungwensis",1,1,1
"Melanoperdix_niger",1,1,1
"Rollulus_rouloul",1,1,1
"Caloperdix_oculeus",1,1,1
"Arborophila_atrogularis",1,1,1
"Arborophila_cambodiana",1,1,1
"Arborophila_mandellii",1,1,1
"Arborophila_sumatrana",1,1,1
"Arborophila_chloropus",1,1,1
"Arborophila_ardens",1,1,1
"Arborophila_rubrirostris",1,1,1
"Arborophila_rolli",1,1,1
"Arborophila_charltonii",1,1,1
"Arborophila_crudigularis",1,1,1
"Arborophila_rufogularis",1,1,1
"Arborophila_davidi",1,1,1
"Arborophila_orientalis",1,1,1
"Arborophila_gingica",1,1,1
"Arborophila_campbelli",1,1,1
"Arborophila_brunneopectus",1,1,1
"Arborophila_rufipectus",1,1,1
"Arborophila_torqueola",1,1,1
"Arborophila_hyperythra",1,1,1
"Arborophila_javanica",1,1,1
"Tetraogallus_tibetanus",1,1,1
"Tetraogallus_caspius",1,1,1
"Tetraogallus_altaicus",1,1,1
"Tetraogallus_caucasicus",1,1,1
"Tetraogallus_himalayensis",1,1,1
"Alectoris_magna",1,1,1
"Alectoris_graeca",1,1,1
"Alectoris_rufa",1,1,1
"Alectoris_chukar",1,1,1
"Alectoris_philbyi",1,1,1
"Alectoris_barbara",1,1,1
"Alectoris_melanocephala",1,1,1
"Pternistis_bicalcaratus",1,1,1
"Pternistis_squamatus",1,1,1
"Pternistis_camerunensis",1,1,1
"Pternistis_adspersus",1,1,1
"Pternistis_capensis",1,1,1
"Pternistis_hildebrandti",1,1,1
"Pternistis_jacksoni",1,1,1
"Pternistis_natalensis",1,1,1
"Pternistis_griseostriatus",1,1,1
"Pternistis_leucoscepus",1,1,1
"Pternistis_swainsonii",1,1,1
"Pternistis_afer",1,1,1
"Pternistis_harwoodi",1,1,1
"Pternistis_erckelii",1,1,1
"Pternistis_swierstrai",1,1,1
"Pternistis_icterorhynchus",1,1,1
"Pternistis_clappertoni",1,1,1
"Pternistis_nobilis",1,1,1
"Pternistis_ochropectus",1,1,1
"Pternistis_ahantensis",1,1,1
"Pternistis_hartlaubi",1,1,1
"Pternistis_rufopictus",1,1,1
"Perdicula_manipurensis",1,1,1
"Perdicula_asiatica",1,1,1
"Perdicula_erythrorhyncha",1,1,1
"Perdicula_argoondah",1,1,1
"Ammoperdix_heyi",1,1,1
"Ammoperdix_griseogularis",1,1,1
"Coturnix_pectoralis",1,1,1
"Coturnix_japonica",1,1,1
"Coturnix_coturnix",1,1,1
"Margaroperdix_madagarensis",1,1,1
"Synoicus_ypsilophorus",1,1,1
"Anurophasis_monorthonyx",1,1,1
"Coturnix_coromandelica",1,1,1
"Coturnix_delegorguei",1,1,1
"Ithaginis_cruentus",1,1,1
"Meleagris_gallopavo",1,1,1
"Meleagris_ocellata",1,1,1
"Bonasa_umbellus",1,1,1
"Bonasa_sewerzowi",1,1,1
"Bonasa_bonasia",1,1,1
"Lagopus_leucura",1,1,1
"Lagopus_muta",1,1,1
"Lagopus_lagopus",1,1,1
"Tetrao_urogalloides",1,1,1
"Tetrao_urogallus",1,1,1
"Lyrurus_tetrix",1,1,1
"Lyrurus_mlokosiewiczi",1,1,1
"Falcipennis_falcipennis",1,1,1
"Lerwa_lerwa",1,1,1
"Dendragapus_obscurus",1,1,1
"Dendragapus_fuliginosus",1,1,1
"Tympanuchus_phasianellus",1,1,1
"Tympanuchus_cupido",1,1,1
"Tympanuchus_pallidicinctus",1,1,1
"Centrocercus_urophasianus",1,1,1
"Centrocercus_minimus",1,1,1
"Rhizothera_longirostris",1,1,1
"Pucrasia_macrolopha",1,1,1
"Syrmaticus_humiae",1,1,1
"Syrmaticus_ellioti",1,1,1
"Syrmaticus_mikado",1,1,1
"Syrmaticus_reevesii",1,1,1
"Syrmaticus_soemmerringii",1,1,1
"Chrysolophus_pictus",1,1,1
"Chrysolophus_amherstiae",1,1,1
"Crossoptilon_auritum",1,1,1
"Crossoptilon_mantchuricum",1,1,1
"Crossoptilon_crossoptilon",1,1,1
"Crossoptilon_harmani",1,1,1
"Lophura_diardi",1,1,1
"Lophura_ignita",1,1,1
"Lophura_inornata",1,1,1
"Lophura_erythrophthalma",1,1,1
"Lophura_bulweri",1,1,1
"Lophura_edwardsi",1,1,1
"Lophura_swinhoii",1,1,1
"Lophura_nycthemera",1,1,1
"Lophura_leucomelanos",1,1,1
"Catreus_wallichii",1,1,1
"Phasianus_colchicus",1,1,1
"Phasianus_versicolor",1,1,1
"Perdix_perdix",1,1,1
"Perdix_dauurica",1,1,1
"Perdix_hodgsoniae",1,1,1
"Tragopan_melanocephalus",1,1,1
"Tragopan_blythii",1,1,1
"Tragopan_satyra",1,1,1
"Tragopan_caboti",1,1,1
"Tragopan_temminckii",1,1,1
"Lophophorus_lhuysii",1,1,1
"Lophophorus_sclateri",1,1,1
"Lophophorus_impejanus",1,1,1
"Tetraophasis_obscurus",1,1,1
"Tetraophasis_szechenyii",1,1,1
"Pavo_muticus",1,1,1
"Pavo_cristatus",1,1,1
"Afropavo_congensis",1,1,1
"Dendroperdix_sephaena",1,1,1
"Francolinus_pintadeanus",1,1,1
"Francolinus_francolinus",1,1,1
"Francolinus_pictus",1,1,1
"Francolinus_pondicerianus",1,1,1
"Francolinus_gularis",1,1,1
"Bambusicola_thoracicus",1,1,1
"Bambusicola_fytchii",1,1,1
"Gallus_sonneratii",1,1,1
"Gallus_varius",1,1,1
"Gallus_gallus",1,1,1
"Gallus_lafayettii",1,1,1
"Scleroptila_afra",1,1,1
"Scleroptila_streptophora",1,1,1
"Scleroptila_gutturalis",1,1,1
"Scleroptila_levaillantii",1,1,1
"Scleroptila_finschi",1,1,1
"Peliperdix_coqui",1,1,1
"Peliperdix_lathami",1,1,1
"Peliperdix_albogularis",1,1,1
"Peliperdix_schlegelii",1,1,1
"Galloperdix_spadicea",1,1,1
"Galloperdix_lunulata",1,1,1
"Galloperdix_bicalcarata",1,1,1
"Polyplectron_schleiermacheri",1,1,1
"Polyplectron_malacense",1,1,1
"Polyplectron_katsumatae",1,1,1
"Polyplectron_germaini",1,1,1
"Polyplectron_bicalcaratum",1,1,1
"Polyplectron_chalcurum",1,1,1
"Polyplectron_inopinatum",1,1,1
"Polyplectron_napoleonis",1,1,1
"Haematortyx_sanguiniceps",1,1,1
"Rheinardia_ocellata",1,1,1
"Argusianus_argus",1,1,1
"Ptilopachus_nahani",0,0,0
"Acryllium_vulturinum",1,1,1
"Agelastes_niger",1,1,1
"Agelastes_meleagrides",1,1,1
"Guttera_plumifera",1,1,1
"Guttera_pucherani",1,1,1
"Numida_meleagris",1,1,1
"Oreophasis_derbianus",1,1,1
"Ortalis_wagleri",1,1,1
"Ortalis_erythroptera",1,1,1
"Ortalis_poliocephala",1,1,1
"Ortalis_motmot",1,1,1
"Ortalis_cinereiceps",1,1,1
"Ortalis_garrula",1,1,1
"Ortalis_ruficauda",1,1,1
"Ortalis_squamata",1,1,1
"Ortalis_canicollis",1,1,1
"Ortalis_vetula",1,1,1
"Ortalis_superciliaris",1,1,1
"Ortalis_leucogastra",1,1,1
"Mitu_tomentosum",1,1,1
"Mitu_mitu",1,1,1
"Pauxi_unicornis",1,1,1
"Mitu_tuberosum",1,1,1
"Mitu_salvini",1,1,1
"Pauxi_pauxi",1,1,1
"Nothocrax_urumutum",1,1,1
"Crax_daubentoni",1,1,1
"Crax_fasciolata",1,1,1
"Crax_alector",1,1,1
"Crax_blumenbachii",1,1,1
"Crax_globulosa",1,1,1
"Crax_alberti",1,1,1
"Crax_rubra",1,1,1
"Penelopina_nigra",1,1,1
"Chamaepetes_goudotii",1,1,1
"Chamaepetes_unicolor",1,1,1
"Aburria_aburri",1,1,1
"Pipile_cujubi",1,1,1
"Pipile_pipile",1,1,1
