"species","survival","extinction"
"Aceros_waldeni",0.03,0.97
"Acrocephalus_aequinoctialis",0.58,0.42
"Acrocephalus_caffer",0.58,0.42
"Acrocephalus_familiaris",0.03,0.97
"Acrocephalus_luscinius",0.03,0.97
"Acrocephalus_paludicola",0.95,0.05
"Aglaeactis_aliciae",0.58,0.42
"Alauda_razae",0.03,0.97
"Amazilia_castaneiventris",0.58,0.42
"Amazona_agilis",0.95,0.05
"Amazona_tucumana",0.95,0.05
"Amazona_vittata",0.03,0.97
"Amytornis_woodwardi",0.95,0.05
"Anairetes_alpinus",0.58,0.42
"Anas_aucklandica",0.95,0.05
"Anas_chlorotis",0.58,0.42
"Anas_wyvilliana",0.58,0.42
"Anthreptes_pallidigaster",0.58,0.42
"Anthus_nilghiriensis",0.95,0.05
"Antilophia_bokermanni",0.03,0.97
"Apalis_flavigularis",0.58,0.42
"Apalis_fuscigularis",0.03,0.97
"Aphrastura_masafuerae",0.03,0.97
"Apteryx_australis",0.95,0.05
"Ara_glaucogularis",0.03,0.97
"Aratinga_brevipes",0.58,0.42
"Arborophila_ardens",0.95,0.05
"Ardeotis_nigriceps",0.58,0.42
"Artisornis_moreaui",0.03,0.97
"Atlapetes_pallidiceps",0.58,0.42
"Aythya_innotata",0.03,0.97
"Biatas_nigropectus",0.95,0.05
"Bostrychia_bocagei",0.03,0.97
"Botaurus_poiciloptilus",0.58,0.42
"Brachyramphus_brevirostris",0.03,0.97
"Brotogeris_pyrrhoptera",0.58,0.42
"Bubo_vosseleri",0.95,0.05
"Bucorvus_cafer",0.95,0.05
"Cacatua_haematuropygia",0.03,0.97
"Cacatua_sulphurea",0.03,0.97
"Camarhynchus_heliobates",0.03,0.97
"Capito_hypoleucus",0.58,0.42
"Catharus_bicknelli",0.95,0.05
"Centrocercus_minimus",0.58,0.42
"Chaetocercus_berlepschi",0.58,0.42
"Charadrius_sanctaehelenae",0.03,0.97
"Cinclodes_aricomae",0.03,0.97
"Cinclodes_palliatus",0.03,0.97
"Cinnyricinclus_femoralis",0.95,0.05
"Circus_maillardi",0.58,0.42
"Circus_maurus",0.95,0.05
"Cistothorus_apolinari",0.58,0.42
"Cleptornis_marchei",0.03,0.97
"Colluricincla_sanghirensis",0.03,0.97
"Columba_elphinstonii",0.95,0.05
"Corvus_kubaryi",0.03,0.97
"Crossoptilon_mantchuricum",0.95,0.05
"Cyanoramphus_malherbi",0.03,0.97
"Dendrocopos_noguchii",0.03,0.97
"Dicaeum_quadricolor",0.03,0.97
"Didunculus_strigirostris",0.58,0.42
"Diomedea_amsterdamensis",0.03,0.97
"Ducula_brenchleyi",0.95,0.05
"Dysithamnus_occidentalis",0.95,0.05
"Eleoscytalopus_psychopompus",0.03,0.97
"Eriocnemis_mirabilis",0.03,0.97
"Eriocnemis_nigrivestis",0.03,0.97
"Eulidia_yarrellii",0.58,0.42
"Eurynorhynchus_pygmeus",0.03,0.97
"Eutrichomyias_rowleyi",0.03,0.97
"Eutriorchis_astur",0.58,0.42
"Formicivora_littoralis",0.58,0.42
"Francolinus_ochropectus",0.03,0.97
"Francolinus_swierstrai",0.58,0.42
"Fregata_andrewsi",0.03,0.97
"Gallicolumba_erythroptera",0.03,0.97
"Gallicolumba_keayi",0.03,0.97
"Gallinago_macrodactyla",0.95,0.05
"Gallirallus_okinawae",0.58,0.42
"Garrulax_courtoisi",0.03,0.97
"Garrulax_yersini",0.58,0.42
"Geronticus_eremita",0.03,0.97
"Glaucidium_nubicola",0.95,0.05
"Grallaria_kaestneri",0.58,0.42
"Grallaria_ridgelyi",0.58,0.42
"Grus_leucogeranus",0.03,0.97
"Grus_nigricollis",0.95,0.05
"Gymnogyps_californianus",0.03,0.97
"Gymnomyza_aubryana",0.03,0.97
"Gyps_bengalensis",0.03,0.97
"Gyps_indicus",0.03,0.97
