"species","survival","extinction"
"Struthio_camelus",0.8,0.2
"Struthio_molybdophanes",0.2,0.8
"Rhea_americana",0.6,0.4
"Rhea_pennata",0.8,0.2
"Rhea_tarapacensis",0.6,0.4
"Nothocercus_julius",0.8,0.2
"Nothocercus_bonapartei",0.8,0.2
"Nothocercus_nigrocapillus",0.2,0.8
"Tinamus_tao",0.2,0.8
"Tinamus_solitarius",0.6,0.4
"Tinamus_osgoodi",0.2,0.8
"Tinamus_major",0.6,0.4
"Tinamus_guttatus",0.6,0.4
"Crypturellus_berlepschi",0.8,0.2
"Crypturellus_cinereus",0.8,0.2
"Crypturellus_ptaritepui",0.8,0.2
"Crypturellus_soui",0.8,0.2
"Crypturellus_obsoletus",0.8,0.2
"Crypturellus_undulatus",0.8,0.2
"Crypturellus_strigulosus",0.8,0.2
"Crypturellus_duidae",0.6,0.4
"Crypturellus_erythropus",0.8,0.2
"Crypturellus_noctivagus",0.6,0.4
"Crypturellus_atrocapillus",0.6,0.4
"Crypturellus_occidentalis",0.8,0.2
"Crypturellus_cinnamomeus",0.8,0.2
"Crypturellus_transfasciatus",0.6,0.4
"Crypturellus_boucardi",0.8,0.2
"Crypturellus_kerriae",0.2,0.8
"Crypturellus_variegatus",0.8,0.2
"Crypturellus_brevirostris",0.8,0.2
"Crypturellus_bartletti",0.8,0.2
"Crypturellus_casiquiare",0.8,0.2
"Crypturellus_parvirostris",0.8,0.2
"Crypturellus_tataupa",0.8,0.2
"Rhynchotus_rufescens",0.8,0.2
"Rhynchotus_maculicollis",0.8,0.2
"Nothoprocta_taczanowskii",0.2,0.8
"Nothoprocta_ornata",0.8,0.2
"Nothoprocta_perdicaria",0.8,0.2
"Nothoprocta_cinerascens",0.8,0.2
"Nothoprocta_pentlandii",0.8,0.2
"Nothoprocta_curvirostris",0.8,0.2
"Nothura_boraquira",0.8,0.2
"Nothura_minor",0.2,0.8
"Nothura_darwinii",0.8,0.2
"Nothura_maculosa",0.8,0.2
"Taoniscus_nanus",0.1,0.9
"Eudromia_elegans",0.8,0.2
"Eudromia_formosa",0.8,0.2
"Tinamotis_pentlandii",0.8,0.2
"Tinamotis_ingoufi",0.8,0.2
"Casuarius_casuarius",0.8,0.2
"Casuarius_bennetti",0.8,0.2
"Casuarius_unappendiculatus",0.8,0.2
"Dromaius_novaehollandiae",0.8,0.2
"Apteryx_haastii",0.2,0.8
"Apteryx_owenii",0.6,0.4
"Apteryx_mantelli",0.2,0.8
"Apteryx_australis",0.2,0.8
"Apteryx_rowi",0.2,0.8
"Alectura_lathami",0.8,0.2
"Aepypodius_arfakianus",0.8,0.2
"Aepypodius_bruijnii",0.1,0.9
"Talegalla_cuvieri",0.8,0.2
"Talegalla_fuscirostris",0.8,0.2
"Talegalla_jobiensis",0.8,0.2
"Leipoa_ocellata",0.2,0.8
"Macrocephalon_maleo",0.1,0.9
"Eulipoa_wallacei",0.2,0.8
"Megapodius_nicobariensis",0.2,0.8
"Megapodius_cumingii",0.8,0.2
"Megapodius_bernsteinii",0.2,0.8
"Megapodius_tenimberensis",0.2,0.8
"Megapodius_layardi",0.2,0.8
"Megapodius_laperouse",0.1,0.9
"Megapodius_pritchardii",0.2,0.8
"Megapodius_freycinet",0.8,0.2
"Megapodius_geelvinkianus",0.2,0.8
"Megapodius_decollatus",0.8,0.2
"Megapodius_eremita",0.8,0.2
"Megapodius_reinwardt",0.8,0.2
"Chamaepetes_unicolor",0.8,0.2
"Chamaepetes_goudotii",0.8,0.2
"Penelopina_nigra",0.2,0.8
"Penelope_argyrotis",0.8,0.2
"Penelope_barbata",0.6,0.4
"Penelope_ortoni",0.1,0.9
"Penelope_montagnii",0.8,0.2
"Penelope_marail",0.8,0.2
"Penelope_superciliaris",0.8,0.2
"Penelope_dabbenei",0.8,0.2
"Penelope_jacquacu",0.8,0.2
"Penelope_purpurascens",0.8,0.2
"Penelope_perspicax",0.1,0.9
"Penelope_albipennis",0.1,0.9
"Penelope_obscura",0.8,0.2
"Penelope_pileata",0.2,0.8
"Penelope_ochrogaster",0.2,0.8
"Penelope_jacucaca",0.2,0.8
"Pipile_pipile",0.01,0.99
"Pipile_cumanensis",0.8,0.2
"Pipile_grayi",0.6,0.4
"Pipile_cujubi",0.8,0.2
"Pipile_jacutinga",0.1,0.9
"Aburria_aburri",0.6,0.4
"Oreophasis_derbianus",0.1,0.9
"Ortalis_vetula",0.8,0.2
"Ortalis_cinereiceps",0.8,0.2
"Ortalis_garrula",0.8,0.2
"Ortalis_ruficauda",0.8,0.2
"Ortalis_erythroptera",0.2,0.8
"Ortalis_wagleri",0.8,0.2
"Ortalis_poliocephala",0.8,0.2
"Ortalis_canicollis",0.8,0.2
"Ortalis_leucogastra",0.8,0.2
"Ortalis_columbiana",0.8,0.2
"Ortalis_guttata",0.8,0.2
"Ortalis_araucuan",0.8,0.2
"Ortalis_squamata",0.8,0.2
"Ortalis_motmot",0.8,0.2
"Ortalis_superciliaris",0.8,0.2
"Nothocrax_urumutum",0.8,0.2
"Crax_rubra",0.2,0.8
"Crax_alberti",0.01,0.99
"Crax_daubentoni",0.6,0.4
"Crax_alector",0.2,0.8
"Crax_fasciolata",0.2,0.8
"Crax_pinima",0.01,0.99
"Crax_globulosa",0.1,0.9
"Crax_blumenbachii",0.1,0.9
"Mitu_tomentosum",0.6,0.4
"Mitu_mitu",0.01,0.99
"Mitu_tuberosum",0.8,0.2
"Mitu_salvini",0.8,0.2
"Pauxi_unicornis",0.01,0.99
"Pauxi_koepckeae",0.01,0.99
"Pauxi_pauxi",0.1,0.9
"Numida_meleagris",0.8,0.2
"Agelastes_meleagrides",0.2,0.8
"Agelastes_niger",0.8,0.2
"Acryllium_vulturinum",0.8,0.2
