CatalogNumber,FullName,CommonName,Continent,Country,ProvinceStateTerritory,SeaGulf,CollectionDate,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,SampleType,PreparedDate,Preservation,StorageTemperature,AccessionNumber,image
CA000000001,Cercopithecus neglectus,De Brazza's monkey,,,,,,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,neglectus,,Cell Culture,1997-06-05,,Liquid Nitrogen,2021_11_08_MFS,
CA000000002,Cavia porcellus,Guinea pig,,,,,,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Cavia,porcellus,,Cell Culture,2001-03-29,,Liquid Nitrogen,2021_11_08_MFS,
CA000000003,Camelus dromedarius,Camel,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Camelus,dromedarius,,Cell Culture,2003-03-11,,Liquid Nitrogen,2021_11_08_MFS,
CA000000004,Canis familiaris,Domestic dog,,,,,,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,familiaris,,Cell Culture,2007-12-11,,Liquid Nitrogen,2021_11_08_MFS,
CA000000005,Burhinus oedicnemus,Stone curlew,,,,,,Animalia,Chordata,Aves,Charadriiformes,Burhinidae,Burhinus,oedicnemus,,Cell Culture,2004-10-22,,Liquid Nitrogen,2021_11_08_MFS,
CA000000006,Bos taurus,Cattle,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,taurus,,Cell Culture,2012-05-12,,Liquid Nitrogen,2021_11_08_MFS,
CA000000007,Akodon cursor,Cursor grass mouse,,,,,,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Akodon,cursor,,Cell Culture,,,Liquid Nitrogen,2021_11_08_MFS,
CA000000008,Aepyprymnus rufescens,Rufous rat-kangaroo,,,,,,Animalia,Chordata,Mammalia,Diprotodontia,Potoroidae,Aepyprymnus,rufescens,,Cell Culture,2003-07-11,,Liquid Nitrogen,2021_11_08_MFS,
CA000000009,Coleonyx elegans,Banded gecko,,,,,,Animalia,Chordata,Reptilia,Squamata,Eublepharidae,Coleonyx,elegans,,Cell Culture,2009-07-07,,Liquid Nitrogen,2021_11_08_MFS,
CA000000010,Cricetulus griseus,Chinese hamster,,,,,,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Cricetulus,griseus,,Cell Culture,2006-05-02,,Liquid Nitrogen,2021_11_08_MFS,
CA000000011,Chalcides chalcides,Italian three-toed skink,,,,,,Animalia,Chordata,Reptilia,Squamata,Scincidae,Chalcides,chalcides,,Cell Culture,2009-08-06,,Liquid Nitrogen,2021_11_08_MFS,
CA000000012,Chamaeleo calyptratus,Veiled chameleon,,,,,,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Chamaeleo,calyptratus,,Cell Culture,2008-08-08,,Liquid Nitrogen,2021_11_08_MFS,
CA000000013,Equus caballus,Welsh mountain pony,,,,,,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,caballus,,Cell Culture,2001-01-17,,Liquid Nitrogen,2021_11_08_MFS,
CA000000014,Hoolock leuconedys,Hoolock gibbon,,,,,,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hoolock,leuconedys,,Cell Culture,2003-06-16,,Liquid Nitrogen,2021_11_08_MFS,
CA000000015,Hoolock leuconedys,Hoolock gibbon,,,,,,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hoolock,leuconedys,,Cell Culture,2003-06-16,,Liquid Nitrogen,2021_11_08_MFS,
CA000000016,Hydropotes inermis,Water deer,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Hydropotes,inermis,,Cell Culture,2001-01-17,,Liquid Nitrogen,2021_11_08_MFS,
CA000000017,Bos taurus,Chillingham cattle,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,taurus,,Cell Culture,1999-04-14,,Liquid Nitrogen,2021_11_08_MFS,
CA000000018,Hydropotes inermis,Water deer,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Hydropotes,inermis,,Cell Culture,2001-01-18,,Liquid Nitrogen,2021_11_08_MFS,
CA000000019,Aepyprymnus rufescens,Rufous rat-kangaroo,,,,,,Animalia,Chordata,Mammalia,Diprotodontia,Potoroidae,Aepyprymnus,rufescens,,Cell Culture,2002-08-22,,Liquid Nitrogen,2021_11_08_MFS,
