"rel_species","count"
"Cercopithecus_neglectus",2
"Cavia_porcellus",12
"Camelus_dromedarius",20
"Canis_familiaris",22
"Burhinus_oedicnemus",2
"Bos_taurus",37
"Akodon_cursor",9
"Aepyprymnus_rufescens",12
"Cricetulus_griseus",14
"Equus_caballus",33
"Hoolock_leuconedys",20
"Hydropotes_inermis",6
"Myodes_glareolus",4
"Dicrostonyx_torquatus",8
"Equus_asinus",10
"Felis_catus",24
"Sus_scrofa",11
"Vulpes_vulpes",8
"Choloepus_didactylus",18
"Ellobius_lutescens",6
"Nyctereutes_procyonoides_procyonoides",9
"Ornithorhynchus_anatinus",84
"Trichosurus_vulpecula",15
"Ursus_arctos",3
"Apodemus_sylvaticus",7
"Equus_burchelli",9
"Rattus_norvegicus",35
"Tachyglossus_aculeatus",43
"Trichechus_manatus",3
"Bos_grunniens",18
"Cricetomys_gambianus",4
"Equus_hemionus",8
"Equus_przewalskii",2
"Equus_zebra_hartmannae",5
"Gallus_gallus",43
"Hylobates_lar",5
"Macaca_nemestrina",2
"Microtus_agrestis",19
"Leucopternis_albicollis",7
"Maxomys_surifer",3
"Microgale_cowani",17
"Sminthopsis_macroura",6
"Tursiops_truncatus",4
"Euphractus_sexcinctus",9
"Gyps_fulvus",9
"Oryctolagus_cuniculus",15
"Sciurus_carolinensis",12
"Tragulus_javanicus",5
"Holochilus_brasiliensis",3
"Gorilla_gorilla",6
"Sarcophilus_harrisii",8
"Gerbillus_nigeriae",5
"Graphiurus_ocularis",3
"Chionomys_nivalis",16
"Cricetulus_migratorius",6
"Galago_senegalensis",7
"Microtus_levis",4
"Tamandua_tetradactyla",3
"Dromaius_novaehollandiae",10
"Macaca_thibetana",2
"Perameles_gunnii",5
"Peromyscus_maniculatus",4
"Loxodonta_africana",6
"Choeropsis_liberiensis",4
"Sorex_granarius",4
"Urocyon_cinereoargenteus",1
"Sminthopsis_crassicaudata",10
"Bradypus_tridactylus",4
"Neovison_vison",3
"Rattus_rattus_flavipectus",9
"Sorex_araneus",10
"Aquila_audax",2
"Elephantulus_edwardii",2
"Bison_bonasus",4
"Muntiacus_reevesi",18
"Papio_cynocephalus",1
"Suncus_murinus",8
"Capreolus_pygargus",12
"Macaca_mulatta",3
"Potorous_tridactylus",2
"Martes_foina",4
"Muntiacus_muntjak_vaginalis",8
"Octodon_degus",3
"Spizaetus_tyrannus",11
"Akodon",11
"Mastomys_erythroleucus",5
"Callithrix_jacchus",11
"Hylobates_syndactylus",5
"Talpa_altaica",3
"Macropus_eugenii",8
"Pulsatrix_perspicillata",1
"Harpia_harpyja",1
"Ctenomys_flamarioni",10
"Gallus_gallus_domesticus",9
"Myiopsitta_monachus",3
"Zenaida_auriculata",5
"Pseudastur_albicollis",5
"Chrysochloris_asiatica",3
"Lama_pacos",21
"Monodelphis_domestica",9
"Heterocephalus_glaber",10
"Bubalus_bubalis",12
"Akodon_lindberghi",5
"Calomyscus",1
"Aethomys_namaquensis",4
"Pongo_pygmaeus_abelii",12
"Mazama_gouazoubira",4
"Chlorocebus_aethiops",5
"Mus_minutoides",5
"Okapia_johnstoni",10
"Rattus_rattus",2
"Capreolus_capreolus",3
"Helarctos_malayanus",3
"Melursus_ursinus",3
"Tremarctos_ornatus",6
"Cercopithecus_kandti",4
"Didelphis_virginiana",5
"Nycticebus_coucang",4
"Elaphodus_cephalophus",5
"Sigmodon_hispidus",11
"Nomascus_leucogenys",7
"Xerus_rutilus",1
"Castor_fiber",2
"Crocidura_sibirica",2
"Orycteropus_afer",4
"Petrogale_xanthopus",3
"Tamias_sibiricus",4
"Nyctereutes_procyonoides_viverrinus",2
"Myotis_myotis",2
"Necromys_lasiurus",2
"Scotophilus_dinganii",3
"Ceratotherium_simum_simum",6
"Oligoryzomys_moojeni",4
"Hylobates_leucogenys",3
"Ursus_maritimus",2
"Saimiri_sciureus",2
"Rangifer_tarandus",1
"Microtus_arvalis",7
"Erinaceus_europaeus",5
"Pongo_pygmaeus",5
"Bolomys_lasiurus",1
"Aethomys_chrysophilus",1
"Ailuropoda_melanoleuca",2
"Ceratotherium_simum",1
"Cynocephalus_volans",1
"Eulemur_fulvus_mayottensis",1
"Eulemur_macaco",1
"Elephantulus_rupestris",1
"Equus_zebra",1
"Lagothrix_lagothricha",1
"Mus_musculus_castaneus",1
"Muntiacus_feae",1
"Meleagris_gallopavo",1
"Marmosops_incanus",2
"Mus_indutus",1
"Metachirus_nudicaudatus",1
"Mustela_vison",2
"Nyctereutes_procyonoides",2
"Octodon_octodon",1
"Orcinus_orca",1
"Myotomys_unisulcatus",1
"Procavia_capensis",2
"Pyrrhocorax_pyrrhocorax",1
"Pan_troglodytes",2
"Sorex_coronatus",1
"Tursiops_aduncus",1
"Tupaia_belangeri",1
"Taeniopygia_guttata",1
"Vombatus_ursinus",1
"Cygnus_cygnus",70
"Sciurus_vulgaris",32
"Mustela_erminea",3
"Neogale_vison",4
"Martes_martes",8
"Mustela_putorius",1
"Neomys_fodiens",1
"Plecotus_auritus",51
"Pipistrellus_pipistrellus",145
"Rhinolophus_ferrumequinum",2
"Myotis_mystacinus",16
"Pipistrellus_pygmaeus",2
"Rhinolophus_hipposideros",14
"Nyctalus_noctula",3
"Myotis_nattereri",4
