"","survival_50","survival_500","survival_pessimistic"
"Zaglossus_bartoni",0.99999822395716,0.999981124,0.99259985296
"Zaglossus_bruijni",0.9999998409103,0.99998720722,0.9896083264
"Zaglossus_attenboroughi",0.9999998746566,0.99998992084,0.9918126208
"Tachyglossus_aculeatus",0.99989857098,0.99915916,0.99830952352
"Ornithorhynchus_anatinus",0,0,0
"Solenodon_cubanus",1,1,0.999999999997524
"Solenodon_paradoxus",1,1,1
"Uropsilus_investigator",1,1,1
"Uropsilus_soricipes",1,1,1
"Uropsilus_gracilis",1,1,1
"Uropsilus_andersoni",1,1,1
"Uropsilus_aequodonenia",1,1,1
"Neurotrichus_gibbsii",1,1,1
"Galemys_pyrenaicus",1,1,1
"Desmana_moschata",1,1,1
"Parascalops_breweri",1,1,1
"Scapanus_townsendii",1,1,1
"Scapanus_orarius",1,1,1
"Scapanus_latimanus",1,1,1
"Scalopus_aquaticus",1,1,1
"Scapanulus_oweni",1,1,1
"Oreoscaptor_mizura",1,1,1
"Mogera_wogura",1,1,1
"Mogera_imaizumii",1,1,1
"Mogera_tokudae",1,1,1
"Mogera_insularis",1,1,1
"Mogera_etigo",1,1,1
"Mogera_kanoana",1,1,1
"Mogera_uchidai",1,1,1
"Euroscaptor_micrura",1,1,1
"Euroscaptor_subanura",1,1,1
"Euroscaptor_grandis",1,1,1
"Scaptochirus_moschatus",1,1,1
"Euroscaptor_longirostris",1,1,1
"Euroscaptor_klossi",1,1,1
"Euroscaptor_parvidens",1,1,1
"Parascaptor_leucura",1,1,1
"Talpa_stankovici",1,1,1
"Talpa_levantis",1,1,1
"Talpa_davidiana",1,1,1
"Talpa_occidentalis",1,1,1
"Talpa_europaea",1,1,1
"Talpa_caeca",1,1,1
"Talpa_romana",1,1,1
"Talpa_caucasica",1,1,1
"Talpa_altaica",1,1,1
"Urotrichus_talpoides",1,1,1
"Dymecodon_pilirostris",1,1,1
"Scaptonyx_fusicaudus",1,1,1
"Condylura_cristata",1,1,1
"Hylomys_megalotis",1,1,1
"Neotetracus_sinensis",1,1,1
"Neohylomys_hainanensis",1,1,1
"Hylomys_suillus",1,1,1
"Hylomys_parvus",1,1,1
"Podogymnura_truei",1,1,1
"Podogymnura_aureospinula",1,1,1
"Echinosorex_gymnura",1,1,1
"Erinaceus_roumanicus",1,1,1
"Erinaceus_concolor",1,1,1
"Erinaceus_europaeus",1,1,1
"Erinaceus_amurensis",1,1,1
"Paraechinus_micropus",1,1,1
"Paraechinus_nudiventris",1,1,1
"Paraechinus_hypomelas",1,1,1
"Paraechinus_aethiopicus",1,1,1
"Mesechinus_hughi",1,1,1
"Mesechinus_dauuricus",1,1,1
"Hemiechinus_collaris",1,1,1
"Hemiechinus_auritus",1,1,1
"Atelerix_algirus",1,1,1
"Atelerix_frontalis",1,1,1
"Atelerix_sclateri",1,1,1
"Atelerix_albiventris",1,1,1
"Solisorex_pearsoni",1,1,1
"Feroculus_feroculus",1,1,1
"Suncus_fellowesgordoni",1,1,1
"Suncus_malayanus",1,1,1
"Suncus_etruscus",1,1,1
"Sylvisorex_silvanorum",1,1,1
"Suncus_dayi",1,1,1
"Suncus_stoliczkanus",1,1,1
"Suncus_hosei",1,1,1
"Suncus_montanus",1,1,1
"Suncus_murinus",1,1,1
"Crocidura_pachyura",1,1,1
"Crocidura_usambarae",1,1,1
"Crocidura_yankariensis",1,1,1
"Crocidura_sapaensis",1,1,1
"Crocidura_russula",1,1,1
"Crocidura_hirta",1,1,1
"Crocidura_flavescens",1,1,1
"Crocidura_arispa",1,1,1
"Crocidura_mutesae",1,1,1
"Crocidura_goliath",1,1,1
"Crocidura_vosmaeri",1,1,1
"Crocidura_olivieri",1,1,1
"Crocidura_maxi",1,1,1
"Crocidura_viaria",1,1,1
"Crocidura_fulvastra",1,1,1
"Crocidura_crenata",1,1,1
"Crocidura_gmelini",1,1,1
"Crocidura_pasha",1,1,1
"Crocidura_grassei",1,1,1
"Crocidura_parvipes",1,1,1
"Crocidura_lamottei",1,1,1
"Crocidura_erica",1,1,1
"Crocidura_fingui",1,1,1
"Crocidura_nanilla",1,1,1
"Crocidura_turba",1,1,1
"Crocidura_bottegoides",1,1,1
"Crocidura_douceti",1,1,1
"Crocidura_raineyi",1,1,1
"Crocidura_muricauda",1,1,1
"Crocidura_nimbasilvanus",1,1,1
"Crocidura_nimbae",1,1,1
"Crocidura_hispida",1,1,1
"Crocidura_voi",1,1,1
"Crocidura_polia",1,1,1
"Crocidura_allex",1,1,1
"Crocidura_cyanea",1,1,1
"Crocidura_wimmeri",1,1,1
"Crocidura_poensis",1,1,1
"Crocidura_buettikoferi",1,1,1
"Crocidura_theresae",1,1,1
"Crocidura_batesi",1,1,1
"Crocidura_zimmeri",1,1,1
"Crocidura_hutanis",1,1,1
"Crocidura_grandis",1,1,1
"Crocidura_grandiceps",1,1,1
"Crocidura_kivuana",1,1,1
"Crocidura_hildegardeae",1,1,1
"Crocidura_dolichura",1,1,1
"Crocidura_virgata",1,1,1
"Crocidura_silacea",1,1,1
"Crocidura_mariquensis",1,1,1
"Crocidura_attila",1,1,1
"Crocidura_telfordi",1,1,1
"Crocidura_ludia",1,1,1
"Crocidura_littoralis",1,1,1
"Crocidura_greenwoodi",1,1,1
"Crocidura_stenocephala",1,1,1
"Crocidura_congobelgica",1,1,1
"Crocidura_maurisca",1,1,1
"Crocidura_roosevelti",1,1,1
"Crocidura_zaphiri",1,1,1
"Crocidura_latona",1,1,1
"Crocidura_caliginea",1,1,1
"Crocidura_jacksoni",1,1,1
"Crocidura_ansellorum",1,1,1
"Crocidura_fuscomurina",1,1,1
"Crocidura_lusitania",1,1,1
"Crocidura_andamanensis",1,1,1
"Crocidura_cinderella",1,1,1
"Crocidura_jouvenetae",1,1,1
"Crocidura_annamitensis",1,1,1
"Crocidura_crossei",1,1,1
"Crocidura_tarella",1,1,1
"Crocidura_harenna",1,1,1
"Paracrocidura_schoutedeni",1,1,1
"Paracrocidura_maxima",1,1,1
"Paracrocidura_graueri",1,1,1
"Crocidura_smithii",1,1,1
"Crocidura_elongata",1,1,1
"Crocidura_lea",1,1,1
"Crocidura_musseri",1,1,1
"Crocidura_hilliana",1,1,1
"Crocidura_rhoditis",1,1,1
"Crocidura_cranbrooki",1,1,1
"Crocidura_vorax",1,1,1
"Crocidura_phanluongi",1,1,1
"Crocidura_levicula",1,1,1
"Crocidura_armenica",1,1,1
"Crocidura_macowi",1,1,1
"Crocidura_selina",1,1,1
"Crocidura_batakorum",1,1,1
"Crocidura_trichura",1,1,1
"Crocidura_hikmiya",1,1,1
"Crocidura_fischeri",1,1,1
"Crocidura_miya",1,1,1
"Crocidura_somalica",1,1,1
"Diplomesodon_pulchellum",1,1,1
"Crocidura_horsfieldii",1,1,1
"Crocidura_sokolovi",1,1,1
"Crocidura_maquassiensis",1,1,1
"Crocidura_gracilipes",1,1,1
"Crocidura_serezkyensis",1,1,1
"Crocidura_longipes",1,1,1
"Crocidura_abscondita",1,1,1
"Crocidura_negligens",1,1,1
"Crocidura_malayana",1,1,1
"Crocidura_brunnea",1,1,1
"Crocidura_orientalis",1,1,1
"Crocidura_floweri",1,1,1
"Crocidura_lepidura",1,1,1
"Crocidura_tansaniana",1,1,1
"Crocidura_beccarii",1,1,1
"Crocidura_nigripes",1,1,1
"Crocidura_macarthuri",1,1,1
"Crocidura_ninoyi",1,1,1
"Crocidura_jenkinsi",1,1,1
"Crocidura_phaeura",1,1,1
"Crocidura_foetida",1,1,1
"Crocidura_katinka",1,1,1
"Crocidura_beatus",1,1,1
"Crocidura_grayi",1,1,1
"Crocidura_mindorus",1,1,1
"Crocidura_panayensis",1,1,1
"Crocidura_negrina",1,1,1
"Crocidura_palawanensis",1,1,1
"Crocidura_paradoxura",1,1,1
"Crocidura_arabica",1,1,1
"Crocidura_eisentrauti",1,1,1
"Crocidura_watasei",1,1,1
"Crocidura_monticola",1,1,1
"Crocidura_ultima",1,1,1
"Crocidura_nigrofusca",1,1,1
"Crocidura_lanosa",1,1,1
"Crocidura_manengubae",1,1,1
"Crocidura_dhofarensis",1,1,1
"Crocidura_neglecta",1,1,1
"Crocidura_indochinensis",1,1,1
"Crocidura_baluensis",1,1,1
"Crocidura_elgonius",1,1,1
"Crocidura_wuchihensis",1,1,1
"Crocidura_whitakeri",1,1,1
"Crocidura_fuliginosa",1,1,1
"Crocidura_phuquocensis",1,1,1
"Crocidura_tenuis",1,1,1
"Crocidura_orii",1,1,1
"Crocidura_ramona",1,1,1
"Crocidura_dsinezumi",1,1,1
"Crocidura_lasiura",1,1,1
"Crocidura_rapax",1,1,1
"Crocidura_tanakae",1,1,1
"Crocidura_attenuata",1,1,1
"Crocidura_zaitsevi",1,1,1
"Crocidura_shantungensis",1,1,1
"Crocidura_thomensis",1,1,1
"Crocidura_pullata",1,1,1
"Crocidura_desperata",1,1,1
"Crocidura_picea",1,1,1
"Crocidura_sibirica",1,1,1
"Crocidura_suaveolens",1,1,1
"Crocidura_caspica",1,1,1
"Crocidura_aleksandrisi",1,1,1
"Crocidura_xantippe",1,1,1
"Crocidura_susiana",1,1,1
"Crocidura_zarudnyi",1,1,1
"Crocidura_leucodon",1,1,1
"Crocidura_lucina",1,1,1
"Crocidura_fumosa",1,1,1
"Crocidura_tarfayensis",1,1,1
"Crocidura_canariensis",1,1,1
"Crocidura_sicula",1,1,1
"Crocidura_zimmermanni",1,1,1
"Crocidura_pergrisea",1,1,1
"Crocidura_nicobarica",1,1,1
"Crocidura_mdumai",1,1,1
"Crocidura_pitmani",1,1,1
"Crocidura_munissii",1,1,1
"Crocidura_foxi",1,1,1
"Crocidura_newmarki",1,1,1
"Crocidura_monax",1,1,1
"Crocidura_nigeriae",1,1,1
"Crocidura_macmillani",1,1,1
"Crocidura_luna",1,1,1
"Crocidura_planiceps",1,1,1
"Crocidura_montis",1,1,1
"Crocidura_nigricans",1,1,1
"Crocidura_bottegi",1,1,1
"Crocidura_guy",1,1,1
"Crocidura_denti",1,1,1
"Crocidura_glassi",1,1,1
"Crocidura_thalia",1,1,1
"Crocidura_baileyi",1,1,1
"Crocidura_niobe",1,1,1
"Crocidura_lwiroensis",1,1,1
"Crocidura_religiosa",1,1,1
"Crocidura_nana",1,1,1
"Crocidura_obscurior",1,1,1
"Suncus_remyi",1,1,1
"Suncus_ater",1,1,1
"Sylvisorex_akaibei",1,1,1
"Suncus_hututsi",1,1,1
"Suncus_varilla",1,1,1
"Suncus_infinitesimus",1,1,1
"Scutisorex_thori",1,1,1
"Scutisorex_somereni",1,1,1
"Sylvisorex_camerunensis",1,1,1
"Sylvisorex_pluvialis",1,1,1
"Sylvisorex_ollula",1,1,1
"Sylvisorex_morio",1,1,1
"Sylvisorex_konganensis",1,1,1
"Sylvisorex_isabellae",1,1,1
"Ruwenzorisorex_suncoides",1,1,1
"Suncus_aequatorius",1,1,1
"Suncus_zeylanicus",1,1,1
"Suncus_megalura",1,1,1
"Suncus_lixus",1,1,1
"Sylvisorex_johnstoni",1,1,1
"Sylvisorex_lunaris",1,1,1
"Suncus_mertensi",1,1,1
"Sylvisorex_howelli",1,1,1
"Sylvisorex_corbeti",1,1,1
"Sylvisorex_oriundus",1,1,1
"Sylvisorex_granti",1,1,1
"Sylvisorex_vulcanorum",1,1,1
"Myosorex_zinki",1,1,1
"Myosorex_babaulti",1,1,1
"Myosorex_kabogoensis",1,1,1
"Myosorex_bururiensis",1,1,1
"Myosorex_schalleri",1,1,1
"Myosorex_sclateri",1,1,1
"Myosorex_cafer",1,1,1
"Myosorex_varius",1,1,1
"Myosorex_tenuis",1,1,1
"Myosorex_geata",1,1,1
"Myosorex_kihaulei",1,1,1
"Myosorex_longicaudatus",1,1,1
"Myosorex_okuensis",1,1,1
"Myosorex_eisentrauti",1,1,1
"Myosorex_blarina",1,1,1
"Myosorex_gnoskei",1,1,1
"Myosorex_rumpii",1,1,1
"Myosorex_jejei",1,1,1
"Myosorex_meesteri",1,1,1
"Congosorex_verheyeni",1,1,1
"Congosorex_polli",1,1,1
"Congosorex_phillipsorum",1,1,1
"Sorex_ventralis",1,1,1
"Sorex_merriami",1,1,1
