"species","survival","extinction"
"Abditomys_latidens",0.996,0.004
"Abeomelomys_sevia",0.99995,5e-05
"Abrawayaomys_chebezi",0.996,0.004
"Abrawayaomys_ruschii",0.99995,5e-05
"Abrocoma_bennettii",0.99995,5e-05
"Abrocoma_boliviensis",0.03,0.97
"Abrocoma_budini",0.996,0.004
"Abrocoma_cinerea",0.99995,5e-05
"Abrocoma_famatina",0.996,0.004
"Abrocoma_schistacea",0.996,0.004
"Abrocoma_uspallata",0.996,0.004
"Abrocoma_vaccarum",0.996,0.004
"Abrothrix_andina",0.99995,5e-05
"Abrothrix_hershkovitzi",0.996,0.004
"Abrothrix_hirta",0.996,0.004
"Abrothrix_illutea",0.99995,5e-05
"Abrothrix_jelskii",0.99995,5e-05
"Abrothrix_lanosa",0.996,0.004
"Abrothrix_longipilis",0.99995,5e-05
"Abrothrix_manni",0.99995,5e-05
"Abrothrix_olivacea",0.99995,5e-05
"Abrothrix_sanborni",0.996,0.004
"Acerodon_celebensis",0.95,0.05
"Acerodon_humilis",0.58,0.42
"Acerodon_jubatus",0.58,0.42
"Acerodon_leucotis",0.95,0.05
"Acerodon_mackloti",0.95,0.05
"Acinonyx_jubatus",0.95,0.05
"Acomys_cahirinus",0.99995,5e-05
"Acomys_chudeaui",0.99995,5e-05
"Acomys_cilicicus",0.996,0.004
"Acomys_cineraceus",0.99995,5e-05
"Acomys_dimidiatus",0.99995,5e-05
"Acomys_ignitus",0.99995,5e-05
"Acomys_johannis",0.99995,5e-05
"Acomys_kempi",0.99995,5e-05
"Acomys_louisae",0.99995,5e-05
"Acomys_minous",0.996,0.004
"Acomys_mullah",0.99995,5e-05
"Acomys_muzei",0.99995,5e-05
"Acomys_nesiotes",0.996,0.004
"Acomys_ngurui",0.99995,5e-05
"Acomys_percivali",0.99995,5e-05
"Acomys_russatus",0.99995,5e-05
"Acomys_selousi",0.99995,5e-05
"Acomys_seurati",0.99995,5e-05
"Acomys_spinosissimus",0.99995,5e-05
"Acomys_subspinosus",0.99995,5e-05
"Acomys_wilsoni",0.99995,5e-05
"Aconaemys_fuscus",0.99995,5e-05
"Aconaemys_porteri",0.996,0.004
"Aconaemys_sagei",0.996,0.004
"Acrobates_frontalis",0.996,0.004
"Acrobates_pygmaeus",0.99995,5e-05
"Acrocodia_indicus",0.58,0.42
"Addax_nasomaculatus",0.03,0.97
"Aegialomys_baroni",0.996,0.004
"Aegialomys_galapagoensis",0.95,0.05
"Aegialomys_ica",0.996,0.004
"Aegialomys_xanthaeolus",0.99995,5e-05
"Aeorestes_cinereus",0.99995,5e-05
"Aeorestes_egregius",0.996,0.004
"Aeorestes_semotus",0.996,0.004
"Aeorestes_villosissimus",0.996,0.004
"Aepeomys_lugens",0.99995,5e-05
"Aepeomys_reigi",0.95,0.05
"Aepyceros_melampus",0.99995,5e-05
"Aepyprymnus_rufescens",0.99995,5e-05
"Aeretes_melanopterus",0.996,0.004
"Aeromys_tephromelas",0.996,0.004
"Aeromys_thomasi",0.99995,5e-05
"Aethalops_aequalis",0.99995,5e-05
"Aethalops_alecto",0.99995,5e-05
"Aethomys_bocagei",0.99995,5e-05
"Aethomys_chrysophilus",0.99995,5e-05
"Aethomys_hindei",0.99995,5e-05
"Aethomys_ineptus",0.99995,5e-05
"Aethomys_kaiseri",0.99995,5e-05
"Aethomys_nyikae",0.99995,5e-05
"Aethomys_silindensis",0.996,0.004
"Aethomys_stannarius",0.996,0.004
"Aethomys_thomasi",0.99995,5e-05
"Ailuropoda_melanoleuca",0.95,0.05
"Ailurops_furvus",0.996,0.004
"Ailurops_melanotis",0.03,0.97
"Ailurops_ursinus",0.95,0.05
"Ailurus_fulgens",0.58,0.42
"Akodon_aerosus",0.99995,5e-05
"Akodon_affinis",0.99995,5e-05
"Akodon_albiventer",0.99995,5e-05
"Akodon_azarae",0.99995,5e-05
"Akodon_baliolus",0.996,0.004
"Akodon_boliviensis",0.99995,5e-05
"Akodon_budini",0.99995,5e-05
"Akodon_caenosus",0.996,0.004
"Akodon_cursor",0.99995,5e-05
"Akodon_dayi",0.99995,5e-05
"Akodon_dolores",0.99995,5e-05
"Akodon_fumeus",0.99995,5e-05
"Akodon_iniscatus",0.99995,5e-05
"Akodon_josemariarguedasi",0.996,0.004
"Akodon_juninensis",0.99995,5e-05
"Akodon_kofordi",0.99995,5e-05
"Akodon_lindberghi",0.996,0.004
"Akodon_lutescens",0.99995,5e-05
"Akodon_mimus",0.99995,5e-05
"Akodon_mollis",0.99995,5e-05
"Akodon_montensis",0.99995,5e-05
"Akodon_mystax",0.996,0.004
"Akodon_orientalis",0.996,0.004
"Akodon_orophilus",0.99995,5e-05
"Akodon_paranaensis",0.99995,5e-05
"Akodon_pervalens",0.996,0.004
"Akodon_philipmyersi",0.996,0.004
"Akodon_polopi",0.99995,5e-05
"Akodon_reigi",0.99995,5e-05
"Akodon_sanctipaulensis",0.996,0.004
"Akodon_siberiae",0.996,0.004
"Akodon_simulator",0.99995,5e-05
"Akodon_spegazzinii",0.99995,5e-05
"Akodon_subfuscus",0.99995,5e-05
"Akodon_surdus",0.95,0.05
"Akodon_sylvanus",0.99995,5e-05
"Akodon_toba",0.99995,5e-05
"Akodon_torques",0.99995,5e-05
"Akodon_varius",0.996,0.004
"Alcelaphus_buselaphus",0.99995,5e-05
"Alces_alces",0.99995,5e-05
"Alexandromys_evoronensis",0.996,0.004
"Alexandromys_fortis",0.99995,5e-05
"Alexandromys_gromovi",0.996,0.004
"Alexandromys_kikuchii",0.99995,5e-05
"Alexandromys_limnophilus",0.99995,5e-05
"Alexandromys_maximowiczii",0.99995,5e-05
"Alexandromys_middendorffii",0.99995,5e-05
"Alexandromys_mongolicus",0.99995,5e-05
"Alexandromys_montebelli",0.99995,5e-05
"Alexandromys_mujanensis",0.996,0.004
"Alexandromys_oeconomus",0.99995,5e-05
"Alexandromys_sachalinensis",0.99995,5e-05
"Alionycteris_paucidentata",0.99995,5e-05
"Allactaga_major",0.99995,5e-05
"Allactaga_severtzovi",0.99995,5e-05
"Allactodipus_bobrinskii",0.99995,5e-05
"Allenopithecus_nigroviridis",0.99995,5e-05
"Allocebus_trichotis",0.95,0.05
"Allochrocebus_lhoesti",0.95,0.05
"Allochrocebus_preussi",0.58,0.42
"Allochrocebus_solatus",0.996,0.004
"Allocricetulus_curtatus",0.99995,5e-05
"Allocricetulus_eversmanni",0.99995,5e-05
"Alouatta_arctoidea",0.99995,5e-05
"Alouatta_belzebul",0.95,0.05
"Alouatta_caraya",0.99995,5e-05
"Alouatta_discolor",0.95,0.05
"Alouatta_guariba",0.99995,5e-05
"Alouatta_macconnelli",0.99995,5e-05
"Alouatta_nigerrima",0.99995,5e-05
"Alouatta_palliata",0.99995,5e-05
"Alouatta_pigra",0.58,0.42
"Alouatta_sara",0.99995,5e-05
"Alouatta_seniculus",0.99995,5e-05
"Alouatta_ululata",0.58,0.42
"Alticola_albicaudus",0.996,0.004
"Alticola_argentatus",0.99995,5e-05
"Alticola_barakshin",0.99995,5e-05
"Alticola_lemminus",0.99995,5e-05
"Alticola_montosa",0.95,0.05
"Alticola_olchonensis",0.58,0.42
"Alticola_roylei",0.996,0.004
"Alticola_semicanus",0.99995,5e-05
"Alticola_stoliczkanus",0.99995,5e-05
"Alticola_stracheyi",0.996,0.004
"Alticola_strelzowi",0.99995,5e-05
"Alticola_tuvinicus",0.99995,5e-05
"Amblysomus_corriae",0.996,0.004
"Amblysomus_hottentotus",0.99995,5e-05
"Amblysomus_marleyi",0.58,0.42
"Amblysomus_robustus",0.95,0.05
"Amblysomus_septentrionalis",0.996,0.004
"Ametrida_centurio",0.99995,5e-05
"Ammelaphus_imberbis",0.996,0.004
"Ammodillus_imbellis",0.996,0.004
"Ammodorcas_clarkei",0.95,0.05
"Ammospermophilus_harrisii",0.99995,5e-05
"Ammospermophilus_interpres",0.99995,5e-05
"Ammospermophilus_leucurus",0.99995,5e-05
"Ammospermophilus_nelsoni",0.58,0.42
"Ammotragus_lervia",0.95,0.05
"Amorphochilus_schnablii",0.95,0.05
"Amphinectomys_savamis",0.996,0.004
"Anathana_ellioti",0.99995,5e-05
"Andalgalomys_olrogi",0.99995,5e-05
"Andalgalomys_pearsoni",0.99995,5e-05
"Andalgalomys_roigi",0.996,0.004
"Andinomys_edax",0.99995,5e-05
"Anisomys_imitator",0.99995,5e-05
"Anomalurus_beecrofti",0.99995,5e-05
"Anomalurus_derbianus",0.99995,5e-05
"Anomalurus_pelii",0.996,0.004
"Anomalurus_pusillus",0.99995,5e-05
"Anonymomys_mindorensis",0.996,0.004
"Anotomys_leander",0.58,0.42
"Anoura_aequatoris",0.99995,5e-05
"Anoura_cadenai",0.996,0.004
"Anoura_carishina",0.996,0.004
"Anoura_caudifer",0.99995,5e-05
