"species","survival","extinction"
"Abditomys_latidens",0.6,0.4
"Abeomelomys_sevia",0.8,0.2
"Abrawayaomys_chebezi",0.6,0.4
"Abrawayaomys_ruschii",0.8,0.2
"Abrocoma_bennettii",0.8,0.2
"Abrocoma_boliviensis",0.01,0.99
"Abrocoma_budini",0.6,0.4
"Abrocoma_cinerea",0.8,0.2
"Abrocoma_famatina",0.6,0.4
"Abrocoma_schistacea",0.6,0.4
"Abrocoma_uspallata",0.6,0.4
"Abrocoma_vaccarum",0.6,0.4
"Abrothrix_andina",0.8,0.2
"Abrothrix_hershkovitzi",0.6,0.4
"Abrothrix_hirta",0.6,0.4
"Abrothrix_illutea",0.8,0.2
"Abrothrix_jelskii",0.8,0.2
"Abrothrix_lanosa",0.6,0.4
"Abrothrix_longipilis",0.8,0.2
"Abrothrix_manni",0.8,0.2
"Abrothrix_olivacea",0.8,0.2
"Abrothrix_sanborni",0.6,0.4
"Acerodon_celebensis",0.2,0.8
"Acerodon_humilis",0.1,0.9
"Acerodon_jubatus",0.1,0.9
"Acerodon_leucotis",0.2,0.8
"Acerodon_mackloti",0.2,0.8
"Acinonyx_jubatus",0.2,0.8
"Acomys_cahirinus",0.8,0.2
"Acomys_chudeaui",0.8,0.2
"Acomys_cilicicus",0.6,0.4
"Acomys_cineraceus",0.8,0.2
"Acomys_dimidiatus",0.8,0.2
"Acomys_ignitus",0.8,0.2
"Acomys_johannis",0.8,0.2
"Acomys_kempi",0.8,0.2
"Acomys_louisae",0.8,0.2
"Acomys_minous",0.6,0.4
"Acomys_mullah",0.8,0.2
"Acomys_muzei",0.8,0.2
"Acomys_nesiotes",0.6,0.4
"Acomys_ngurui",0.8,0.2
"Acomys_percivali",0.8,0.2
"Acomys_russatus",0.8,0.2
"Acomys_selousi",0.8,0.2
"Acomys_seurati",0.8,0.2
"Acomys_spinosissimus",0.8,0.2
"Acomys_subspinosus",0.8,0.2
"Acomys_wilsoni",0.8,0.2
"Aconaemys_fuscus",0.8,0.2
"Aconaemys_porteri",0.6,0.4
"Aconaemys_sagei",0.6,0.4
"Acrobates_frontalis",0.6,0.4
"Acrobates_pygmaeus",0.8,0.2
"Acrocodia_indicus",0.1,0.9
"Addax_nasomaculatus",0.01,0.99
"Aegialomys_baroni",0.6,0.4
"Aegialomys_galapagoensis",0.2,0.8
"Aegialomys_ica",0.6,0.4
"Aegialomys_xanthaeolus",0.8,0.2
"Aeorestes_cinereus",0.8,0.2
"Aeorestes_egregius",0.6,0.4
"Aeorestes_semotus",0.6,0.4
"Aeorestes_villosissimus",0.6,0.4
"Aepeomys_lugens",0.8,0.2
"Aepeomys_reigi",0.2,0.8
"Aepyceros_melampus",0.8,0.2
"Aepyprymnus_rufescens",0.8,0.2
"Aeretes_melanopterus",0.6,0.4
"Aeromys_tephromelas",0.6,0.4
"Aeromys_thomasi",0.8,0.2
"Aethalops_aequalis",0.8,0.2
"Aethalops_alecto",0.8,0.2
"Aethomys_bocagei",0.8,0.2
"Aethomys_chrysophilus",0.8,0.2
"Aethomys_hindei",0.8,0.2
"Aethomys_ineptus",0.8,0.2
"Aethomys_kaiseri",0.8,0.2
"Aethomys_nyikae",0.8,0.2
"Aethomys_silindensis",0.6,0.4
"Aethomys_stannarius",0.6,0.4
"Aethomys_thomasi",0.8,0.2
"Ailuropoda_melanoleuca",0.2,0.8
"Ailurops_furvus",0.6,0.4
"Ailurops_melanotis",0.01,0.99
"Ailurops_ursinus",0.2,0.8
"Ailurus_fulgens",0.1,0.9
"Akodon_aerosus",0.8,0.2
"Akodon_affinis",0.8,0.2
"Akodon_albiventer",0.8,0.2
"Akodon_azarae",0.8,0.2
"Akodon_baliolus",0.6,0.4
"Akodon_boliviensis",0.8,0.2
"Akodon_budini",0.8,0.2
"Akodon_caenosus",0.6,0.4
"Akodon_cursor",0.8,0.2
"Akodon_dayi",0.8,0.2
"Akodon_dolores",0.8,0.2
"Akodon_fumeus",0.8,0.2
"Akodon_iniscatus",0.8,0.2
"Akodon_josemariarguedasi",0.6,0.4
"Akodon_juninensis",0.8,0.2
"Akodon_kofordi",0.8,0.2
"Akodon_lindberghi",0.6,0.4
"Akodon_lutescens",0.8,0.2
"Akodon_mimus",0.8,0.2
"Akodon_mollis",0.8,0.2
"Akodon_montensis",0.8,0.2
"Akodon_mystax",0.6,0.4
"Akodon_orientalis",0.6,0.4
"Akodon_orophilus",0.8,0.2
"Akodon_paranaensis",0.8,0.2
"Akodon_pervalens",0.6,0.4
"Akodon_philipmyersi",0.6,0.4
"Akodon_polopi",0.8,0.2
"Akodon_reigi",0.8,0.2
"Akodon_sanctipaulensis",0.6,0.4
"Akodon_siberiae",0.6,0.4
"Akodon_simulator",0.8,0.2
"Akodon_spegazzinii",0.8,0.2
"Akodon_subfuscus",0.8,0.2
"Akodon_surdus",0.2,0.8
"Akodon_sylvanus",0.8,0.2
"Akodon_toba",0.8,0.2
"Akodon_torques",0.8,0.2
"Akodon_varius",0.6,0.4
"Alcelaphus_buselaphus",0.8,0.2
"Alces_alces",0.8,0.2
"Alexandromys_evoronensis",0.6,0.4
"Alexandromys_fortis",0.8,0.2
"Alexandromys_gromovi",0.6,0.4
"Alexandromys_kikuchii",0.8,0.2
"Alexandromys_limnophilus",0.8,0.2
"Alexandromys_maximowiczii",0.8,0.2
"Alexandromys_middendorffii",0.8,0.2
"Alexandromys_mongolicus",0.8,0.2
"Alexandromys_montebelli",0.8,0.2
"Alexandromys_mujanensis",0.6,0.4
"Alexandromys_oeconomus",0.8,0.2
"Alexandromys_sachalinensis",0.8,0.2
"Alionycteris_paucidentata",0.8,0.2
"Allactaga_major",0.8,0.2
"Allactaga_severtzovi",0.8,0.2
"Allactodipus_bobrinskii",0.8,0.2
"Allenopithecus_nigroviridis",0.8,0.2
"Allocebus_trichotis",0.2,0.8
"Allochrocebus_lhoesti",0.2,0.8
"Allochrocebus_preussi",0.1,0.9
"Allochrocebus_solatus",0.6,0.4
"Allocricetulus_curtatus",0.8,0.2
"Allocricetulus_eversmanni",0.8,0.2
"Alouatta_arctoidea",0.8,0.2
"Alouatta_belzebul",0.2,0.8
"Alouatta_caraya",0.8,0.2
"Alouatta_discolor",0.2,0.8
"Alouatta_guariba",0.8,0.2
"Alouatta_macconnelli",0.8,0.2
"Alouatta_nigerrima",0.8,0.2
"Alouatta_palliata",0.8,0.2
"Alouatta_pigra",0.1,0.9
"Alouatta_sara",0.8,0.2
"Alouatta_seniculus",0.8,0.2
"Alouatta_ululata",0.1,0.9
"Alticola_albicaudus",0.6,0.4
"Alticola_argentatus",0.8,0.2
"Alticola_barakshin",0.8,0.2
"Alticola_lemminus",0.8,0.2
"Alticola_montosa",0.2,0.8
"Alticola_olchonensis",0.1,0.9
"Alticola_roylei",0.6,0.4
"Alticola_semicanus",0.8,0.2
"Alticola_stoliczkanus",0.8,0.2
"Alticola_stracheyi",0.6,0.4
"Alticola_strelzowi",0.8,0.2
"Alticola_tuvinicus",0.8,0.2
"Amblysomus_corriae",0.6,0.4
"Amblysomus_hottentotus",0.8,0.2
"Amblysomus_marleyi",0.1,0.9
"Amblysomus_robustus",0.2,0.8
"Amblysomus_septentrionalis",0.6,0.4
"Ametrida_centurio",0.8,0.2
"Ammelaphus_imberbis",0.6,0.4
"Ammodillus_imbellis",0.6,0.4
"Ammodorcas_clarkei",0.2,0.8
"Ammospermophilus_harrisii",0.8,0.2
"Ammospermophilus_interpres",0.8,0.2
"Ammospermophilus_leucurus",0.8,0.2
"Ammospermophilus_nelsoni",0.1,0.9
"Ammotragus_lervia",0.2,0.8
"Amorphochilus_schnablii",0.2,0.8
"Amphinectomys_savamis",0.6,0.4
"Anathana_ellioti",0.8,0.2
"Andalgalomys_olrogi",0.8,0.2
"Andalgalomys_pearsoni",0.8,0.2
"Andalgalomys_roigi",0.6,0.4
"Andinomys_edax",0.8,0.2
"Anisomys_imitator",0.8,0.2
"Anomalurus_beecrofti",0.8,0.2
"Anomalurus_derbianus",0.8,0.2
"Anomalurus_pelii",0.6,0.4
"Anomalurus_pusillus",0.8,0.2
"Anonymomys_mindorensis",0.6,0.4
"Anotomys_leander",0.1,0.9
"Anoura_aequatoris",0.8,0.2
"Anoura_cadenai",0.6,0.4
"Anoura_carishina",0.6,0.4
"Anoura_caudifer",0.8,0.2
"Anoura_cultrata",0.8,0.2
"Anoura_fistulata",0.6,0.4
"Anoura_geoffroyi",0.8,0.2
"Anoura_latidens",0.8,0.2
"Anoura_luismanueli",0.8,0.2
"Anoura_peruana",0.8,0.2
"Anourosorex_assamensis",0.8,0.2
"Anourosorex_schmidi",0.6,0.4
"Anourosorex_squamipes",0.8,0.2
"Anourosorex_yamashinai",0.8,0.2
"Antechinomys_laniger",0.8,0.2
"Antechinus_adustus",0.8,0.2
"Antechinus_agilis",0.8,0.2
"Antechinus_argentus",0.6,0.4
"Antechinus_arktos",0.6,0.4
"Antechinus_bellus",0.2,0.8
"Antechinus_flavipes",0.8,0.2
"Antechinus_godmani",0.8,0.2
"Antechinus_leo",0.8,0.2
"Antechinus_mimetes",0.6,0.4
"Antechinus_minimus",0.8,0.2
"Antechinus_mysticus",0.6,0.4
"Antechinus_stuartii",0.8,0.2
"Antechinus_subtropicus",0.8,0.2
"Antechinus_swainsonii",0.8,0.2
"Antechinus_vandycki",0.6,0.4
"Anthops_ornatus",0.6,0.4
