"","no_matches","closest"
"1","Aceros waldeni","Aceros nipalensis"
"2","Acrocephalus luscinius","Acrocephalus orinus"
"3","Anthreptes pallidigaster","Hedydipna pallidigaster"
"4","Aphrastura masafuerae","Aphrastura masafucrae"
"5","Aratinga brevipes","Tringa brevipes"
"6","Bubo vosseleri","Bubo shelleyi"
"7","Bucorvus cafer","Turtur afer"
"8","Camarhynchus heliobates","Campylorhynchus zonatus"
"9","Cinnyricinclus femoralis","Cinnyricinclus leucogaster"
"10","Colluricincla sanghirensis","Cittura sanghirensis"
"11","Eurynorhynchus pygmeus","Aulacorhynchus wagleri"
"12","Formicivora littoralis","Formicivora intermedia"
"13","Francolinus ochropectus","Francolinus pictus"
"14","Francolinus swierstrai","Francolinus pictus"
"15","Gallicolumba erythroptera","Gallicolumba crinigera"
"16","Gallirallus okinawae","Gallirallus australis"
"17","Garrulax yersini","Garrulax merulinus"
"18","Grus leucogeranus","Otus socotranus"
"19","Heteromirafra sidamoensis","Heteromirafra ruddi"
"20","Laterallus spilonotus","Laterallus spilonota"
"21","Neospiza concolor","Xenospingus concolor"
"22","Phalacrocorax chalconotus","Phalacrocorax capillatus"
"23","Phalacrocorax onslowi","Phalacrocorax carbo"
"24","Philydor novaesi","Philydor rufum"
"25","Polioptila clementsi","Polioptila lembeyei"
"26","Schoutedenapus schoutedeni","Schoutedenapus myoptilus"
"27","Sterna bernsteini","Sterna forsteri"
"28","Telophorus kupeensis","Chlorophoneus kupeensis"
"29","Thryothorus nicefori","Thryophilus nicefori"
"30","Zoothera guttata","Zoothera lunulata"
"31","Zosterops cholornothos","Zosterops chloronothos"
"32","Zosterops conspicillatus","Forpus conspicillatus"
