"Species","Status","Extinction","Survival"
"Aceros_waldeni","CR",0.97,0.03
"Acrocephalus_aequinoctialis","EN",0.42,0.58
"Acrocephalus_caffer","EN",0.42,0.58
"Acrocephalus_familiaris","CR",0.97,0.03
"Acrocephalus_luscinius","CR",0.97,0.03
"Acrocephalus_paludicola","VU",0.05,0.95
"Aglaeactis_aliciae","EN",0.42,0.58
"Alauda_razae","CR",0.97,0.03
"Amazilia_castaneiventris","EN",0.42,0.58
"Amazona_agilis","VU",0.05,0.95
"Amazona_tucumana","VU",0.05,0.95
"Amazona_vittata","CR",0.97,0.03
"Amytornis_woodwardi","VU",0.05,0.95
"Anairetes_alpinus","EN",0.42,0.58
"Anas_aucklandica","VU",0.05,0.95
"Anas_chlorotis","EN",0.42,0.58
"Anas_wyvilliana","EN",0.42,0.58
"Anthreptes_pallidigaster","EN",0.42,0.58
"Anthus_nilghiriensis","VU",0.05,0.95
"Antilophia_bokermanni","CR",0.97,0.03
"Apalis_flavigularis","EN",0.42,0.58
"Apalis_fuscigularis","CR",0.97,0.03
"Aphrastura_masafuerae","CR",0.97,0.03
"Apteryx_australis","VU",0.05,0.95
"Ara_glaucogularis","CR",0.97,0.03
"Aratinga_brevipes","EN",0.42,0.58
"Arborophila_ardens","VU",0.05,0.95
"Ardeotis_nigriceps","EN",0.42,0.58
"Artisornis_moreaui","CR",0.97,0.03
"Atlapetes_pallidiceps","EN",0.42,0.58
"Aythya_innotata","CR",0.97,0.03
"Biatas_nigropectus","VU",0.05,0.95
"Bostrychia_bocagei","CR",0.97,0.03
"Botaurus_poiciloptilus","EN",0.42,0.58
"Brachyramphus_brevirostris","CR",0.97,0.03
"Brotogeris_pyrrhoptera","EN",0.42,0.58
"Bubo_vosseleri","VU",0.05,0.95
"Bucorvus_cafer","VU",0.05,0.95
"Cacatua_haematuropygia","CR",0.97,0.03
"Cacatua_sulphurea","CR",0.97,0.03
"Camarhynchus_heliobates","CR",0.97,0.03
"Capito_hypoleucus","EN",0.42,0.58
"Catharus_bicknelli","VU",0.05,0.95
"Centrocercus_minimus","EN",0.42,0.58
"Chaetocercus_berlepschi","EN",0.42,0.58
"Charadrius_sanctaehelenae","CR",0.97,0.03
"Cinclodes_aricomae","CR",0.97,0.03
"Cinclodes_palliatus","CR",0.97,0.03
"Cinnyricinclus_femoralis","VU",0.05,0.95
"Circus_maillardi","EN",0.42,0.58
"Circus_maurus","VU",0.05,0.95
"Cistothorus_apolinari","EN",0.42,0.58
"Cleptornis_marchei","CR",0.97,0.03
"Colluricincla_sanghirensis","CR",0.97,0.03
"Columba_elphinstonii","VU",0.05,0.95
