"","species","survival","extinction"
"1","Abditomys_latidens",0.996,0.004
"2","Abeomelomys_sevia",0.99995,5e-05
"3","Abrawayaomys_chebezi",0.996,0.004
"4","Abrawayaomys_ruschii",0.99995,5e-05
"5","Abrocoma_bennettii",0.99995,5e-05
"6","Abrocoma_boliviensis",0.03,0.97
"7","Abrocoma_budini",0.996,0.004
"8","Abrocoma_cinerea",0.99995,5e-05
"9","Abrocoma_famatina",0.996,0.004
"10","Abrocoma_schistacea",0.996,0.004
"11","Abrocoma_uspallata",0.996,0.004
"12","Abrocoma_vaccarum",0.996,0.004
"13","Abrothrix_andina",0.99995,5e-05
"14","Abrothrix_hershkovitzi",0.996,0.004
"15","Abrothrix_hirta",0.996,0.004
"16","Abrothrix_illutea",0.99995,5e-05
"17","Abrothrix_jelskii",0.99995,5e-05
"18","Abrothrix_lanosa",0.996,0.004
"19","Abrothrix_longipilis",0.99995,5e-05
"20","Abrothrix_manni",0.99995,5e-05
"21","Abrothrix_olivacea",0.99995,5e-05
"22","Abrothrix_sanborni",0.996,0.004
"23","Acerodon_celebensis",0.95,0.05
"24","Acerodon_humilis",0.58,0.42
"25","Acerodon_jubatus",0.58,0.42
"26","Acerodon_leucotis",0.95,0.05
"27","Acerodon_mackloti",0.95,0.05
"28","Acinonyx_jubatus",0.95,0.05
"29","Acomys_cahirinus",0.99995,5e-05
"30","Acomys_chudeaui",0.99995,5e-05
"31","Acomys_cilicicus",0.996,0.004
"32","Acomys_cineraceus",0.99995,5e-05
"33","Acomys_dimidiatus",0.99995,5e-05
"34","Acomys_ignitus",0.99995,5e-05
"35","Acomys_johannis",0.99995,5e-05
"36","Acomys_kempi",0.99995,5e-05
"37","Acomys_louisae",0.99995,5e-05
"38","Acomys_minous",0.996,0.004
"39","Acomys_mullah",0.99995,5e-05
"40","Acomys_muzei",0.99995,5e-05
"41","Acomys_nesiotes",0.996,0.004
"42","Acomys_ngurui",0.99995,5e-05
"43","Acomys_percivali",0.99995,5e-05
"44","Acomys_russatus",0.99995,5e-05
"45","Acomys_selousi",0.99995,5e-05
"46","Acomys_seurati",0.99995,5e-05
"47","Acomys_spinosissimus",0.99995,5e-05
"48","Acomys_subspinosus",0.99995,5e-05
"49","Acomys_wilsoni",0.99995,5e-05
"50","Aconaemys_fuscus",0.99995,5e-05
"51","Aconaemys_porteri",0.996,0.004
"52","Aconaemys_sagei",0.996,0.004
"53","Acrobates_frontalis",0.996,0.004
"54","Acrobates_pygmaeus",0.99995,5e-05
"55","Acrocodia_indicus",0.58,0.42
"56","Addax_nasomaculatus",0.03,0.97
"57","Aegialomys_baroni",0.996,0.004
"58","Aegialomys_galapagoensis",0.95,0.05
"59","Aegialomys_ica",0.996,0.004
"60","Aegialomys_xanthaeolus",0.99995,5e-05
"61","Aeorestes_cinereus",0.99995,5e-05
"62","Aeorestes_egregius",0.996,0.004
"63","Aeorestes_semotus",0.996,0.004
"64","Aeorestes_villosissimus",0.996,0.004
"65","Aepeomys_lugens",0.99995,5e-05
"66","Aepeomys_reigi",0.95,0.05
"67","Aepyceros_melampus",0.99995,5e-05
"68","Aepyprymnus_rufescens",0.99995,5e-05
"69","Aeretes_melanopterus",0.996,0.004
"70","Aeromys_tephromelas",0.996,0.004
"71","Aeromys_thomasi",0.99995,5e-05
"72","Aethalops_aequalis",0.99995,5e-05
"73","Aethalops_alecto",0.99995,5e-05
"74","Aethomys_bocagei",0.99995,5e-05
"75","Aethomys_chrysophilus",0.99995,5e-05
"76","Aethomys_hindei",0.99995,5e-05
"77","Aethomys_ineptus",0.99995,5e-05
"78","Aethomys_kaiseri",0.99995,5e-05
"79","Aethomys_nyikae",0.99995,5e-05
"80","Aethomys_silindensis",0.996,0.004
"81","Aethomys_stannarius",0.996,0.004
"82","Aethomys_thomasi",0.99995,5e-05
"83","Ailuropoda_melanoleuca",0.95,0.05
"84","Ailurops_furvus",0.996,0.004
"85","Ailurops_melanotis",0.03,0.97
"86","Ailurops_ursinus",0.95,0.05
"87","Ailurus_fulgens",0.58,0.42
"88","Akodon_aerosus",0.99995,5e-05
"89","Akodon_affinis",0.99995,5e-05
"90","Akodon_albiventer",0.99995,5e-05
"91","Akodon_azarae",0.99995,5e-05
"92","Akodon_baliolus",0.996,0.004
"93","Akodon_boliviensis",0.99995,5e-05
"94","Akodon_budini",0.99995,5e-05
"95","Akodon_caenosus",0.996,0.004
"96","Akodon_cursor",0.99995,5e-05
"97","Akodon_dayi",0.99995,5e-05
"98","Akodon_dolores",0.99995,5e-05
"99","Akodon_fumeus",0.99995,5e-05
"100","Akodon_iniscatus",0.99995,5e-05
"101","Akodon_josemariarguedasi",0.996,0.004
"102","Akodon_juninensis",0.99995,5e-05
"103","Akodon_kofordi",0.99995,5e-05
"104","Akodon_lindberghi",0.996,0.004
"105","Akodon_lutescens",0.99995,5e-05
"106","Akodon_mimus",0.99995,5e-05
"107","Akodon_mollis",0.99995,5e-05
"108","Akodon_montensis",0.99995,5e-05
"109","Akodon_mystax",0.996,0.004
"110","Akodon_orientalis",0.996,0.004
"111","Akodon_orophilus",0.99995,5e-05
"112","Akodon_paranaensis",0.99995,5e-05
"113","Akodon_pervalens",0.996,0.004
"114","Akodon_philipmyersi",0.996,0.004
"115","Akodon_polopi",0.99995,5e-05
"116","Akodon_reigi",0.99995,5e-05
"117","Akodon_sanctipaulensis",0.996,0.004
"118","Akodon_siberiae",0.996,0.004
"119","Akodon_simulator",0.99995,5e-05
"120","Akodon_spegazzinii",0.99995,5e-05
"121","Akodon_subfuscus",0.99995,5e-05
"122","Akodon_surdus",0.95,0.05
"123","Akodon_sylvanus",0.99995,5e-05
"124","Akodon_toba",0.99995,5e-05
"125","Akodon_torques",0.99995,5e-05
"126","Akodon_varius",0.996,0.004
"127","Alcelaphus_buselaphus",0.99995,5e-05
"128","Alces_alces",0.99995,5e-05
"129","Alexandromys_evoronensis",0.996,0.004
"130","Alexandromys_fortis",0.99995,5e-05
"131","Alexandromys_gromovi",0.996,0.004
"132","Alexandromys_kikuchii",0.99995,5e-05
"133","Alexandromys_limnophilus",0.99995,5e-05
"134","Alexandromys_maximowiczii",0.99995,5e-05
"135","Alexandromys_middendorffii",0.99995,5e-05
"136","Alexandromys_mongolicus",0.99995,5e-05
"137","Alexandromys_montebelli",0.99995,5e-05
"138","Alexandromys_mujanensis",0.996,0.004
"139","Alexandromys_oeconomus",0.99995,5e-05
"140","Alexandromys_sachalinensis",0.99995,5e-05
"141","Alionycteris_paucidentata",0.99995,5e-05
"142","Allactaga_major",0.99995,5e-05
"143","Allactaga_severtzovi",0.99995,5e-05
"144","Allactodipus_bobrinskii",0.99995,5e-05
"145","Allenopithecus_nigroviridis",0.99995,5e-05
"146","Allocebus_trichotis",0.95,0.05
"147","Allochrocebus_lhoesti",0.95,0.05
