Species,Status,Required expen,GE
Rhabdotorrhinus waldeni,CR,15093000,4
Acrocephalus aequinoctialis,EN,3173400,3
Acrocephalus caffer,EN,1870500,3
Acrocephalus familiaris,CR,3483000,4
Acrocephalus paludicola,VU,425700000,2
Aglaeactis aliciae,EN,789480,3
Alauda razae,CR,663060,4
Amazona agilis,VU,14706000,2
Amazona tucumana,VU,5185800,2
Amazona vittata,CR,35475000,4
Amytornis woodwardi,VU,19350000,2
Anairetes alpinus,EN,10629600,3
Anas aucklandica,VU,7082100,2
Anas wyvilliana,EN,11648700,3
Hedydipna pallidigaster,EN,38442000,3
Anthus nilghiriensis,VU,5301900,2
Antilophia bokermanni,CR,15996000,4
Apalis flavigularis,EN,12280800,3
Apalis fuscigularis,CR,3779700,4
Aphrastura masafucrae,CR,5340600,4
Apteryx australis,VU,3005700,2
Ara glaucogularis,CR,1612500,4
Arborophila ardens,VU,3495900,2
Artisornis moreaui,CR,15867000,4
Atlapetes pallidiceps,EN,999750,3
Aythya innotata,CR,3534600,4
Biatas nigropectus,VU,853980000,2
Bostrychia bocagei,CR,12177600,4
Botaurus poiciloptilus,EN,16770000,3
Brotogeris pyrrhoptera,EN,13932000,3
Cacatua haematuropygia,CR,3534600,4
Cacatua sulphurea,CR,3289500,4
Geospiza heliobates,CR,7340100,4
Catharus bicknelli,VU,29025000,2
Centrocercus minimus,EN,18189000,3
Chaetocercus berlepschi,EN,40248000,3
Cinclodes aricomae,CR,9326700,4
Cinclodes palliatus,CR,3895800,4
Poeoptera femoralis,VU,29154000,2
Circus maillardi,EN,130290000,3
Cistothorus apolinari,EN,2451000,3
Cleptornis marchei,CR,52890000,4
Columba elphinstonii,VU,220590000,2
Corvus kubaryi,CR,37410000,4
Crossoptilon mantchuricum,VU,16254000,2
Cyanoramphus malherbi,CR,3792600,4
Dendrocopos noguchii,CR,64113000,4
Dicaeum quadricolor,CR,8127000,4
Ducula brenchleyi,VU,13932000,2
Dysithamnus occidentalis,VU,12009900,2
Eriocnemis nigrivestis,CR,56760000,4
Eutrichomyias rowleyi,CR,1625400,4
Eutriorchis astur,EN,6991800,3
Pternistis ochropectus,CR,21801000,4
Pternistis swierstrai,EN,1470600,3
Fregata andrewsi,CR,1896300,4
Gallicolumba keayi,CR,14190000,4
Gallinago macrodactyla,VU,26703000,2
Garrulax courtoisi,CR,461820,4
